timestamp,device,roll,pitch,yaw,speed
2025-07-11T12:27:09.025,Rev_2,8.13,1.95,4.43,0.0022
2025-07-11T12:27:09.056,Rev_3,3.48,-16.19,0.4,0.0005
2025-07-11T12:27:09.118,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.147,Rev_2,8.12,1.95,4.22,0.0022
2025-07-11T12:27:09.176,Rev_3,3.45,-16.18,0.4,0.0007
2025-07-11T12:27:09.177,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.266,Rev_2,8.11,1.95,4.16,0.0022
2025-07-11T12:27:09.298,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.356,Rev_3,3.48,-16.17,0.4,0.0005
2025-07-11T12:27:09.384,Rev_2,8.1,1.95,4.43,0.0022
2025-07-11T12:27:09.418,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.446,Rev_2,8.14,1.95,4.35,-0.0005
2025-07-11T12:27:09.475,Rev_3,3.51,-16.16,0.4,0.0005
2025-07-11T12:27:09.477,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.566,Rev_2,8.13,1.95,4.49,0.0022
2025-07-11T12:27:09.595,Rev_3,3.53,-16.15,0.4,-0.0044
2025-07-11T12:27:09.597,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.625,Rev_2,8.17,1.95,4.4,-0.0005
2025-07-11T12:27:09.716,Rev_3,3.5,-16.14,0.4,0.0007
2025-07-11T12:27:09.718,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:09.745,Rev_2,8.15,1.95,4.53,0.0022
2025-07-11T12:27:09.836,Rev_3,3.52,-16.13,0.4,0.0005
